id1;id2;data_source;points;50km;20km;10km;5km;zone;X;Y
П2;П2;Turukhansk 2021;Туруханск Бол. Вост. ПП2;0,771;0,725;0,619;0,834;taiga;87.92538;65.8316
П3;П3;Turukhansk 2021;Туруханск ПП3;0,771;0,7245;0,621;0,823;taiga;87.92443;65.83056
П4;П4;Turukhansk 2021;Туруханск ПП4;0,7705;0,724;0,623;0,798;taiga;87.92101;65.82935
П5;П5;Turukhansk 2021;Туруханск ПП5;0,77;0,723;0,627;0,762;taiga;87.91605;65.82771
П5.2;П5.2;Turukhansk 2021;Туруханск 5 Кр. Солн;0,77;0,723;0,627;0,762;taiga;87.91606;65.82772
П7;П7;Turukhansk 2021;Бол. Березовое ПП7;0,77;0,716;0,652;0,498;taiga;87.89789;65.80515
П8;П8;Turukhansk 2021;Туруханск ПП8;0,771;0,7245;0,621;0,823;taiga;87.92443;65.83056
П9;П9;Turukhansk 2021;Тураханск ПП9;0,77;0,717;0,65;0,535;taiga;87.89810;65.80922
П10;П10;Turukhansk 2021;Туруханск ПП10;0,77;0,716;0,65;0,53;taiga;87.89463;65.81011
П11;П11;Turukhansk 2021;Туруханск ПП11;0,776;0,741;0,702;0,777;taiga;88.01039;65.81496
П12;П12;Turukhansk 2021;Туруханск ПП12;0,776;0,739;0,669;0,837;taiga;88.00166;65.82541
П13;П13;Turukhansk 2021;Тураханск ПП13;0,777;0,741;0,694;0,808;taiga;88.01044;65.82109
П14;П14;Turukhansk 2021;Туруханск ПП14;0,776;0,742;0,697;0,887;taiga;88.01670;65.83470
П15;П15;Turukhansk 2021;Туруханск ПП15;0,775;0,742;0,696;0,921;taiga;88.01643;65.83813
П16;П16;Turukhansk 2021;Туруханск ПП16;0,775;0,741;0,686;0,9155;taiga;88.01178;65.83699
П17;П17;Turukhansk 2021;Туруханск ПП17;0,778;0,745;0,76;0,872;taiga;88.04349;65.83547
П18;П18;Turukhansk 2021;Туруханск ПП18;0,778;0,745;0,7545;0,858;taiga;88.04197;65.83218
П18.2;П18.2;Turukhansk 2021;Туруханск 19 термокарстовая воронка;0,778;0,745;0,7545;0,858;taiga;88.04198;65.83219
П19;П19;Igarka 2021;Игарка 19;0,63;0,63;0,653;0,718;taiga;86.69953;67.43952
П20;П20;Igarka 2021;Игарка 20;0,627;0,633;0,655;0,774;taiga;86.70856;67.44903
П21;П21;Igarka 2021;Игарка 21;0,647;0,6625;0,59;0,523;taiga;86.44046;67.48152
П22;П22;Igarka 2021;Игарка 22;0,647;0,662;0,594;0,517;taiga;86.44047;67.48014
П23;П23;Igarka 2021;Игарка 23;0,647;0,664;0,592;0,502;taiga;86.42863;67.48158
П24;П24;Igarka 2021;Игарка 24;0,635;0,657;0,639;0,849;taiga;86.54380;67.50485
П25;П25;Igarka 2021;Игарка 25;0,634;0,656;0,653;0,844;taiga;86.55671;67.50558
П26;П26;Igarka 2021;Игарка 26;0,634;0,657;0,642;0,849;taiga;86.54484;67.50545
П27;П27;Igarka 2021;Игарка 27;0,629;0,629;0,626;0,813;taiga;86.73605;67.43405
П28;П28;Igarka 2021;Игарка 28;0,631;0,628;0,6215;0,805;taiga;86.74737;67.42499
П29;П29;Igarka 2021;Игарка 29;0,633;0,627;0,617;0,8;taiga;86.76391;67.41426
П30;П30;Igarka 2021;Играка 30;0,633;0,627;0,617;0,798;taiga;86.76229;67.41339
П31;П31;Igarka 2021;Игарка 31;0,622;0,653;0,792;0,801;taiga;86.64064;67.53098
П32;П32;Igarka 2021;Игарка 32;0,622;0,653;0,792;0,8;taiga;86.64317;67.53068
П33;П33;Igarka 2021;Игарка 33;0,622;0,653;0,792;0,8;taiga;86.64364;67.53014
П34;П34;Igarka 2021;Игарка 34;0,623;0,653;0,781;0,807;taiga;86.62604;67.52597
V1;V1;Vanavara 2022;V1;0,954;0,954;0,932;0,867;taiga;102.3129;60.32121
V3;V3;Vanavara 2022;V3;0,954;0,951;0,93;0,865;taiga;102.3067;60.31655
V6;V6;Vanavara 2022;V6;0,954;0,954;0,93;0,871;taiga;102.3055;60.32803
V7;V7;Vanavara 2022;V7;0,954;0,952;0,93;0,866;taiga;102.3047;60.32201
V8;V8;Vanavara 2022;V8;0,953;0,949;0,929;0,864;taiga;102.3018;60.31238
V9;V9;Vanavara 2022;V9;0,953;0,951;0,923;0,877;taiga;102.2841;60.34111
V14;V14;Vanavara 2022;V14;0,953;0,943;0,922;0,91;taiga;102.2452;60.36616
V18;V18;Vanavara 2022;V18;0,952;0,94;0,922;0,908;taiga;102.2387;60.36576
V20;V20;Vanavara 2022;V20;0,955;0,962;0,941;0,904;taiga;102.3261;60.35778
V21;V21;Vanavara 2022;V21;0,955;0,962;0,941;0,905;taiga;102.3261;60.35831
